Id;number_of_messages;mean_time
4;3;125.333333
8;6;119.833333
25;6;122.333333
a0;1;0.000000
181;2;381.500000
182;2;380.000000
201;90;264.577778
202;92;260.869565
204;10;2156.500000
207;22;970.818182
224;90;264.777778
227;22;965.181818
247;2;4802.500000
305;22;976.136364
307;2;4853.500000
308;11;1770.363636
309;4;1195.500000
30a;3;2587.666667
325;22;980.954545
328;11;1781.363636
32a;3;2581.666667
345;10;1936.400000
348;1;3035.000000
368;11;1818.545455
388;11;1829.272727
3a8;11;1839.000000
3c8;1;2960.000000
421;1;5188.000000
430;7;2535.857143
441;2;4893.500000
461;1;2987.000000
